Area code,Area,Inner or Outer London,er2005,er2006,er2007,er2008,er2009,er2010,er2011,er2012,er2013,er2014,er2015,er2016,er2017,er2018,er2019,,mdh2004,mdh2005,mdh2006,mdh2007,mdh2008,mdh2009,mdh2010,mdh2011,mdh2012,mdh2013,mdh2014,mdh2015,mdh2016,mdh2017,mdh2018,,mi2003/04,mi2004/05,mi2005/06,mi2006/07,mi2007/08,mi2008/09,mi2009/10,mi2010/11,mi2011/12,mi2012/13,mi2013/14,mi2014/15,mi2015/16,mi2016/17,mi2017/18,,mdi2003/04,mdi2004/05,mdi2005/06,mdi2006/07,mdi2007/08,mdi2008/09,mdi2009/10,mdi2010/11,mdi2011/12,mdi2012/13,mdi2013/14,mdi2014/15,mdi2015/16,mdi2016/17,mdi2017/18,,gr2006-07,gr2007-08,gr2008-09,gr2009-10,gr2010-11,gr2011-12,gr2012-13,gr2013-14,gr2014-15,,rr2003/04,rr2004/05,rr2005/06,rr2006/07,rr2007/08,rr2008/09,rr2009/10,rr2010/11,rr2011/12,rr2012/13,rr2013/14,rr2014/15,rr2015/16,rr2016/17,rr2017/18,rr2018/19
E09000001,City of London,Inner,77.7,58.7,88.9,87.1,63.3,45.4,#N/A,#N/A,#N/A,#N/A,64.4,79.4,65.0,76.0,87.2,,280000,310000,341000,417500,366250,400000,450000,465000,485000,615000,769100,800000,833200,844975,923080,,85800,95600,90600,99200,102000,#N/A,137000,127000,117000,131000,151000,144000,142000,157000,148000,,39200,44400,49300,49000,58500,#N/A,61900,61300,51600,58300,65300,61100,60000,57300,60000,,37.5,60,53.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,8,14,18,28,33,34,35,39,37,36,39,34,31,29,29,30
E09000002,Barking and Dagenham,Outer,62.3,62.2,66.0,64.7,62.4,62.5,62.0,61.9,64.2,63.7,66.0,67.2,68.2,68.9,69.8,,160000,163000,168000,185000,190000,160000,170000,170000,174000,180995,215000,245500,290000,300000,310000,,18800,19400,20600,20600,21300,#N/A,23100,22500,22800,23700,24600,25500,25900,26700,27400,,17400,16600,17900,17600,18600,#N/A,19400,19400,19600,20100,21000,21800,22100,23300,23900,,40.4,41.4,45.5,51.6,57.2,58.6,60.2,58.2,54.0,,5,14,17,21,20,25,33,28,30,27,25,23,19,25,25,24
E09000003,Barnet,Outer,69.8,68.7,69.3,67.3,67.0,70.4,69.2,66.5,72.3,70.4,68.8,69.9,74.6,72.1,73.9,,249950,250000,273000,295000,280000,290000,325000,325000,330000,345000,400000,450000,477450,530000,505450,,33900,32800,35600,36700,38700,#N/A,41600,38800,39200,41000,45500,45800,49000,48600,49500,,20000,19900,21200,20400,22000,#N/A,24300,24100,24200,25800,26800,27100,27700,28800,28700,,59.9,61.7,62.4,67.3,68.8,69.2,71.5,67.5,70.1,,16,20,27,29,31,31,33,33,34,33,36,38,37,37,37,35
E09000004,Bexley,Outer,76.4,75.2,73.9,72.1,69.4,70.4,70.9,73.6,73.2,75.4,75.2,78.2,75.4,76.4,75.6,,175000,183000,195000,212000,210000,196000,215000,215000,210000,225000,250000,285000,327500,340000,350000,,21900,22300,24000,24600,26700,#N/A,27600,27400,28300,28600,29600,30200,30900,32300,33500,,17700,17700,19400,19600,19800,#N/A,22100,22600,22300,23100,24400,24400,24500,26100,26900,,50.5,51,56.8,59.8,63.3,64.9,66.0,60.3,55.0,,21,30,38,40,42,51,51,51,53,54,55,54,52,53,52,54
E09000005,Brent,Outer,65.3,63.9,68.4,70.5,68.8,64.2,60.6,66.6,67.1,68.2,69.5,69.3,68.8,71.5,72.8,,225000,240000,249950,280000,275000,275000,285000,300000,322500,347500,385000,415000,445000,497500,495000,,22500,21800,23200,24600,24700,#N/A,26100,26700,27400,28300,29700,31200,32600,34100,35400,,16800,16500,17600,18200,18300,#N/A,19600,19700,20200,20600,21300,22700,23200,24100,24700,,49.9,53.6,55.2,60.1,62.1,58.7,62.9,60.0,60.0,,10,14,20,22,21,28,29,33,37,43,41,35,36,36,37,37
E09000006,Bromley,Outer,80.0,75.8,79.5,78.1,75.6,72.7,73.7,74.4,75.7,75.1,75.6,77.4,78.1,77.3,79.3,,225000,230000,242500,260000,250000,249000,275000,275000,277500,295000,335000,375000,420000,439000,438000,,29200,29200,31400,32800,34400,#N/A,36500,35900,36400,37200,39000,40400,43500,44000,45500,,21400,20900,22400,23000,23200,#N/A,24900,25800,25100,26900,27200,28100,29800,30400,32000,,58.2,62.7,64.9,65.1,67.2,68.9,73.9,65.6,68.0,,20,23,27,32,34,36,40,44,50,49,50,48,46,47,50,50
E09000007,Camden,Inner,64.4,66.0,67.1,67.7,65.2,66.2,61.4,65.0,63.6,66.6,69.2,69.5,66.5,72.6,70.2,,308250,325000,358000,410000,439975,417500,479950,485000,500000,585000,675000,705000,734500,760000,780000,,45700,50200,56200,60200,69800,#N/A,68900,67100,69300,71200,78900,79200,85000,88000,92600,,21300,23200,24200,25900,26900,#N/A,28400,29400,30400,31600,32000,33100,34400,35500,37300,,43.3,43.8,48.7,53.1,60.2,59.0,60.4,60.5,56.4,,19,25,27,28,27,28,30,32,33,31,29,26,25,27,30,31
E09000008,Croydon,Outer,73.1,72.4,72.6,74.3,71.8,72.0,66.0,71.7,73.4,73.1,75.4,77.0,74.0,76.3,76.1,,186000,195000,205000,222500,226725,200000,220000,220000,230000,239950,265000,306000,338000,365000,380000,,23300,24300,25800,27200,28100,#N/A,29700,29000,29700,30700,31800,32600,34200,33800,35600,,19000,18600,19600,20700,20900,#N/A,23100,22000,22700,23900,24300,25100,26300,25600,27500,,44.9,49.5,53.9,54.4,61.0,62.2,64.4,56.8,59.6,,14,13,16,20,23,28,32,33,38,44,42,40,38,39,38,47
E09000009,Ealing,Outer,67.0,69.4,67.9,68.8,64.4,67.3,68.0,66.4,65.4,68.3,73.0,73.7,75.8,73.4,73.0,,232500,235000,248000,271000,270000,257750,279000,293000,310000,326475,387525,432000,465000,480000,470000,,26100,26500,26900,28700,30000,#N/A,32400,30700,32000,32600,34500,35300,37000,37300,39700,,19400,19100,19000,19900,20200,#N/A,21800,20800,21300,22700,23200,24600,24900,26100,26700,,52,54,56.5,58.7,57.3,57.7,60.9,59.8,62.1,,15,15,19,25,29,35,38,40,41,41,40,40,43,51,49,53
E09000010,Enfield,Outer,66.7,71.1,65.7,66.2,60.9,63.2,64.8,64.2,66.8,69.0,73.0,70.5,68.6,69.6,65.9,,194000,200000,210000,233000,234700,225000,241000,240000,248000,250000,285000,331000,385000,405000,400000,,24200,23900,25800,27100,28100,#N/A,30600,29000,30400,30800,32900,34400,34600,34600,36200,,18200,17000,18900,19500,19900,#N/A,22100,20900,22300,22700,23900,25300,25100,25400,26300,,47.9,48.9,49.9,55.3,59.5,55.5,63.2,59.7,54.5,,16,24,27,30,28,27,31,32,35,39,39,39,36,37,36,33
E09000011,Greenwich,Outer,67.5,67.7,67.8,66.2,63.5,66.7,67.7,69.4,64.4,67.0,72.5,73.1,73.3,71.1,76.8,,180000,200000,209995,223000,230000,220000,245000,249995,245000,275000,317500,351580,395000,420750,430000,,23300,23100,25500,27400,29900,#N/A,32800,30000,31000,31500,34200,34800,37300,37500,40200,,17800,17100,18200,19200,20500,#N/A,21400,21300,21800,22600,23500,24600,25600,26000,27600,,38.2,44.8,46,50.1,54.5,63.1,65.4,59.6,57.7,,12,19,22,24,31,42,35,37,39,40,39,34,35,35,35,33
E09000012,Hackney,Inner,53.3,58.3,62.1,65.9,68.2,68.0,67.0,63.4,62.6,68.3,69.0,69.0,72.9,70.0,72.4,,216100,220000,245000,264500,265000,275000,292500,310000,325000,375000,430000,490000,536959,535000,550000,,21500,22900,24600,25300,27900,#N/A,29800,29500,31200,32700,36300,37100,40200,40600,43100,,17000,18000,19300,18400,20900,#N/A,22200,22300,23300,24300,26000,26000,27800,28000,29400,,40.5,41.5,49.4,55.3,57.0,60.2,61.2,58.8,60.4,,6,12,16,20,22,23,24,25,24,24,25,25,25,27,27,28
E09000013,Hammersmith and Fulham,Inner,70.2,69.3,70.2,69.3,67.0,65.8,66.7,68.9,70.9,76.1,77.0,76.2,76.0,76.9,75.8,,302000,325000,350000,415000,435000,420000,460000,465000,490000,561440,661500,730000,730000,780000,768000,,36200,38300,43100,46200,48600,#N/A,52900,52000,52700,54300,61300,62000,69700,66600,73200,,19600,20800,23000,22800,23600,#N/A,26700,27100,27600,27600,30100,30100,32000,32300,33200,,45,43.5,52.4,68.2,71.3,65.6,66.5,65.6,62.6,,16,20,21,24,27,28,27,28,30,23,21,21,22,23,24,24
E09000014,Haringey,Inner,66.5,67.0,64.7,62.5,59.8,62.0,65.7,66.4,68.4,68.2,71.5,73.1,67.9,73.6,76.9,,213300,225000,237500,267500,250000,250000,290000,305000,315000,339800,405000,439498,460000,540000,520000,,26100,27900,29500,32500,31900,#N/A,35100,32900,34600,35400,39100,39500,41700,39900,43800,,18800,18300,18800,19000,19800,#N/A,21800,21500,22200,23300,24400,25800,25600,25100,27100,,41.8,44.2,48.3,48.0,57.3,58.6,63.5,59.1,54.6,,9,14,19,25,26,22,25,28,26,32,36,37,36,36,33,29
E09000015,Harrow,Outer,70.9,71.6,73.4,68.6,71.4,72.3,73.4,71.3,67.9,72.7,73.9,71.9,78.9,78.0,68.6,,245000,249000,250000,280000,275000,250000,291000,294000,302000,325000,370000,400000,460000,500000,473000,,26300,26800,29200,30800,32400,#N/A,33300,31100,32400,33300,36000,37000,38500,38400,39000,,19600,19600,20700,21400,22100,#N/A,22800,22300,23000,24000,25200,26100,26300,27300,27600,,61.3,62.9,65.5,60.7,64.6,63.6,65.4,62.3,60.5,,16,19,27,28,40,43,46,50,48,45,49,45,41,40,41,40
E09000016,Havering,Outer,73.2,74.0,76.6,76.8,71.2,68.5,73.9,69.1,70.7,75.7,76.4,79.3,76.4,78.9,75.2,,188000,195000,205000,222500,222000,200000,221000,220000,221000,232500,250000,287500,332000,350000,360000,,22800,23100,25000,26100,27100,#N/A,29700,29000,30400,30600,31300,32100,33600,33900,35700,,18100,18600,20200,20400,20800,#N/A,22000,22500,22700,23500,24700,24900,26000,26100,27900,,51.9,53.9,56,62.3,63.9,61.5,63.7,60.2,57.7,,8,16,18,20,24,27,34,31,35,35,32,32,32,37,37,37
E09000017,Hillingdon,Outer,69.3,70.6,65.2,71.9,72.3,67.0,69.5,69.8,70.6,71.9,73.4,75.8,74.2,75.2,72.4,,210000,218500,230000,245000,245000,230000,249999,249950,250000,269950,305750,352500,400000,415000,415000,,23800,25200,26300,27600,27900,#N/A,29300,28400,30000,30100,31300,32300,33900,34300,35900,,18900,20400,20200,21200,21800,#N/A,23000,21900,23500,23200,23600,25300,25900,26200,27100,,48.3,49.3,56,55.8,59.5,61.0,61.6,58.6,57.5,,34,27,28,31,34,35,41,43,43,43,43,44,44,43,40,37
